Author,Comment
@kkyotoo,"Is this on spotify"
@riverb.7176,"it&#39;s... original!"
@IloveAnaya,"The “fuck me right” at the end hurt bc Colleen you are my childhood and ilysm so don’t give up ❤😢"
@Outofthisworld1092,"I love her, always have. She’s definitely in the wrong. but people do grow, she has a family now. leave her alone yall need to find a new hobby shes one person she only can handle so much hate and criticism. She knows that you wont stop until she quits and i really hope she ignores all of you. Ilysm colleen🩷 i really like this song minus the sad lyrics, nice music:)"
@ladybug_chatnoir7746,"People saying this the worst apology this rlly isn’t an apology this is her explaining her point of view…."
@Thatonemomcarri,"Can we get our daily “vlogging, it’s boring, I’m Colleen…queen,” let them hat. Just block comments…I will monitor for you for free❤❤ also this video has 4 million times more views than all those gen z clout chasers 😂😂😂😂"
@IloveAnaya,"I love you Colleen I’m sorry about this ❤"
@iwouldntknow4744,wow
@Yourfav.TCoolz32,"Don&#39;t get me wrong, she kinda ate the song HEAVY on kinda but I&#39;m not gonna say nothing bad. I&#39;m not like that"
@kenhammscousin4716,"Having just heard of her and not looking at all into the allegations, she sounds pretty reasonable.. sure, it&#39;s snarky and a non apology, but she&#39;s right.. cancel culture is BS.  Defining someone entirely by a mistake they made.. BUT cancel culture s the reality, so you have to deal with it."
@seiyalover1,"this song is a banger tho"
@chrollotiddy301,"i love you still idc"
@woahhhitsbria373,"very well said."
@joshmay1368,"Stay strong Colleen! We&#39;re here for you ❤"
@kookie_bunnyy3637,"colleen, I’m so sorry this happened to u. You don’t deserve this whatsoever. I love you girly stay strong❤."
@danna-ne3rc,"What a banger"
@joshmay1368,"I hope you&#39;re ok Colleen! Been a fan since the start and saw/met you at your shows. You are always so lovely and kind to your fans. Its so upsetting to see you like this! And I hate the cancel culture thats picking up so much more these days. I wish people wouldn&#39;t spread fake rumours. Get the truth before kicking off!"
@ChellBelle7033,"Genius ❤"
@strawberryfrosty6596,"ok but the song kinda slapped."
@rachelfriedman114,"Awe Colleen!! This is so sweet! I’m not sure what the rumors are exactly but keep your head high!"
@TheShadowWolf162,"im with you"
@cecilleeh6420,"i cannot believe the things these people are saying colleen has always tried her best to be genuine and authentic even when she was going through shit or happiest ever she has made the choice to always be open  and share her life.. y&#39;all are acting like you have never even said a bad word or shit even dropped a drink on carpet! she&#39;s a human being who makes mistakes and has feelings she is a real person trying to live with her family in this fucked up world(which y&#39;all are quite literally making it worse) what&#39;s the point of taking time out of your day to type a hateful comment ab sb past or mistake they ever made what is the point let&#39;s bsffr what joy does it bring you???!!!?"
@mmbgaming8189,"Honestly if u guys were/ are a fan of Colleen you would be supporting her not trying to tear her down"
@Zakrovik,"Colleen, this apology video is very well done. Your singing is simply sublime. I especially liked the fact that you played your ukelele in A Minor, you played it very professionally."
@TheExtratoastie94,"For what it&#39;s worth Colleen, people who&#39;ve watched and loved you consistently for years will see that this is how you genuinely get your feelings out safely-you use music!! You always have! And anyone who has watched you consistently for years knows your heart, because you wear it on your sleeve. I&#39;m sorry that you&#39;ve been misinterpreted to a new generation. I hope you&#39;re able to get some pockets of peace soon."
@Followlostonline,"Colleen, you’re a real person and this whole thing is such a non-issue for so many of us. I wouldn’t even address it at this point if I were you. You’re beyond all of this. You may lose a few followers in the short term. Let ‘em go. Your talent will give you new ones to replace them. So. Please stop all this nonsense - it’s beneath you to participate. I can’t wait for your next “normal” video… please don’t make us wait too long :) Saw you in St Albert with my niece and sister. We loved it. Your show is fantastic"
@EmilyNGA,"I don’t think people understand this video.  It’s very serious.  She’s showing us she isn’t doing well.  Art and music is her way of processing it.  She’s definitely not taking anything lightly. If you know Colleen you know what I mean."
@lizcaraballo7670,"I don’t understand why you are receiving backlash for posting this. Why people feel this wasn’t enough. I don’t understand why there is so much toxicity and hate. Anyone who really knows you would know you would never do the things they accuse you of doing. No matter what know there are those who stood by you and will continue to stand with you no matter what. Hate will not prevail! Thank you for posting this! Know that this will only solidify who you are as a person not define you, this will strengthen you and lead you forward. You got this Colleen!!! We love and support you!!!<br><a href=""http://www.youtube.com/results?search_query=%23stopthehate"">#Stopthehate</a>"
@Kenijr,"finally! i can feel bad for you and not the victims. amazing, thank you Colleen."
@tyetonjacks1292,"So your telling me, she has been online for 15+ years and all the sudden these things start coming up? I mean ok believe what you want"
@zigerz5049,"Haters back off 👄"
@sarab4057,"Catchy though"
@letien2428,"2023 is weird"
@dannyisavibe8306,"Vampire by Olivia Rodrigo or Toxic Gossip Train by Colleen Ballinger? Which is the song of the summer"
@liblob.holmesy69,"i need a break from 2023"
@badboykenken845,❤
@sapphirerosy,"Even if she does apologize, y&#39;all would still be on her ass just like a dozen other content creators out there who have tried to perfect and protect their image by &quot;taking accountability&quot; when in actuality you want them off the internet for good. don&#39;t try to play nice smh 😑"
@joannanno,"Don&#39;t worry girl, I love you😢"
@libtec5343,"Colleen, you are an absolutely amazing human being period and I adore you for this! I&#39;m so glad you spoke out about this stupid toxicity on the internet!!"
@shundrahmundrah3029,"Colleen, it will pass, you just have to wait"
@MichellesdesignsEtc,"Yeah she did admit to some things and I don&#39;t know what she could actually say to satisfy people. People do change for the better and also for worse all time as a Christian I see it happening. Should you let your kids watch her I&#39;m not necessarily saying that,  she did say pg13 sooo... and just because you have some screen shots doesn&#39;t mean that it&#39;s not gossip or a rumor....you just have proof of said rumor I mean I don&#39;t really watch her videos and I&#39;ve heard all this blow up about her multiple times!! Here on YouTube... now I&#39;m not saying that nobody shouldn&#39;t ever boycott or avoid but sometimes cancel culture is rough!! dang! Certain political circles cancelled Roseanne for stupid reasons and I&#39;m certainly not a Roseanne fan (ugh!) But they did her dirty and for a nothingburger of a reason (you guys do know that she IS a liberal) she was a big dem back in the day but y&#39;all canceled your own 😅🤦‍♀️ over nothing gag at a nat swallow a camel... 💯 and YouTube has filthy disgusting rap music videos which are vulgar cuzzing almost naked women and if your child has a smartphone and it&#39;s not very restricted or Mom watching over shoulder these kids CAN access that cr@p sorry saying f every 4 seconds doesn&#39;t make me amazed sure jan &quot;art&quot; and also promotes gun violence the kind not protected under 2A ammendment rights. No you can&#39;t shoot people for stealing your drugs or your car or lady etc. Or because they looked at you funny no that&#39;s not 2A rights lol YouTube themselves censors youtubers for the wrong reasons. 💯 🤷‍♀️🤦‍♀️ like I&#39;ll make something up they censor women in bikinis because it promotes body shaming even though they never shamed anyone. The real reason to censor that is because Children don&#39;t need to see borderline p0rn 🤦‍♀️🤷‍♀️😂🧐😓 but ohh unrealistic expectations is what gets em&#39; 🤡 and don&#39;t get me started with stuff like with pewdiepie a whole nother can of worms! I&#39;m like soo... maybe some things he said weren&#39;t cool but let&#39;s hear why you think that first! 👀💯 some were worse than others... I don&#39;t keep up with him but I know some of the drama (thankfully not all of it)😮  like the one with paper guns... but hey we have them rap videos with at least what looks like a genuinely real gun but hey it gets a pass they&#39;re a celeb with tons of 💰💰💰💸💵💶💷💲 so hey they get a pass and besides YouTube will say &quot;it&#39;s not our responsibility to safeguard your kids&quot; only when it&#39;s like card board guns with pdp then we actually took your child into custody 😂  exaggeration but you get my point! It&#39;s like there&#39;s a reason my Mom didn&#39;t take me to a Roseanne stand up comedy and let me go on stage😂 it&#39;s almost like hey she knew what Roseanne was about &amp; if she did she could probably guesstimate what Roseanne would go on about 😂 (shocked pikachu face!!) But she never said I know I will write to these venues and cancel Roseanne back in the 90s and call her a certain kind of offender and trust me Roseanne isn&#39;t on my Mom favorites list and we think they did her wrong for nothing... ohh wait you mean she voted for a certain orange guy. And suddenly she&#39;s a staunch conservative 😂🤣🙄🧐 puhlease! No I&#39;m not going to start binge watching Roseanne  but man!"
@user-vt4oe3vt4s,"I love colleen, I grew up watching her. I don’t think she is a groomer or predator. She has always been my favorite person, I like that she has made this into a song, I get bored watching people apologize for 30 minutes and not mean a thing. She has turned this accountability and song into something else that will take the pain away for her and makes it a little light hearted. She has talked to her fans, but a lot of tubers call their fans their “best friends” and Colleen actually made initiative to talk to them. I see where she is coming from with that, Colleen is just the aunt that is trying to be there for the kids so they have someone safe to talk to. I love and support Colleen❤ always have and always will."
@elektroqueen3826,"I miss you. You are a positive vibe"
@tamaramelder6649,"It&#39;s sad that some people feel they need to put others down in order to get ahead. You are a kind and generous person Coleen. I enjoy watching your videos and seeing your beautiful family. Wishing you love and strength during this difficult time."
@babyh1493,"i’m not giving any type of opinion or picking any sides.. but yall notice everybody getting “canceled” is from the same era of the internet? 😐"
@mariseljewell3644,"No matter what you do people will be hateful I love you and you did nothing wrong people just need to stop lying."
@MsRosemassacre,"Well this was iconic! Everyone wanted her to speak and there you go 🤷‍♀️...I like her."
@apersonojay8857,"Colleen I love you so much I&#39;ve been watching you for years and to be fair it feels like we&#39;re friends (not in a weird way) I hope you come back I miss the vlogs. People will always hate but there&#39;s a point where they take it too far 😕"
@sunshinealex_,"Stay strong and keep your head up high ❤"
@user-mz7kp1cd2k,"just leave her alone. you guys are getting over something from so long ago that she didn’t do anything"
@mavviemavsters8465,"I actually love this song!"
@ayanamis,"HE DIDNT SAYYY I COULDNT SINGGGG"
@Lovelylizvet,"I hope you see this comment and know that I’m completely on your side for this. Everything being said is so ridiculous! Bunch of lies and rumors. <br><br>Rooting for you Colleen🩷🩷🩷🩷"
@101doreen,"When your name heads the front, there&#39;s people lining up to take you down. Sad, but true. Keep on keeping ON! 💛❤️💛"
@Lovelylizvet,❤❤❤❤❤
@Lovelylizvet,"Colleen pls know I’m still here to support you. You will get through this. ⭐️🩷⭐️🩷⭐️🩷⭐️🩷⭐️"
@erinturner2147,"Not everyone believes the ugly stuff!!! Not anyone in this world is free from life mistakes! I know it doesn’t feel like it, but this will pass and the haters will move onto the next victim!!! I know it feels like it, but you aren’t alone! I know you may never see this, but I hope somehow you feel those of us wishing you good things and believing in you! ❤"
@xxalphamoonxx6063,"You obviously care a lot."
@emileesturms8800,"I hope you’re doing okay, I’ve been a fan for years and know how hard all of this has been on you. Remember that some people still love and support you. Cancel culture will do anything to get somebody down until it moves on to the next person. Keep yourself and those babies safe and healthy ❤️❤️"
@bekindinordertoshine,"I missed you"
@eva6805,"Why is this catchy though"
@jimmygeis8951,"“THEY DIDNT SAY I COULDNT SIIINGGGGG!” -kat from victorious that one episode"
@bonnieworsley8049,"I still love her fr"
@erinturner2147,"You have been missed and are loved! ❤"
@captainsmitty353,"Love you Colleen."
@BMG12366two,"I mean... Tbh... I don&#39;t know much about the situation, but everything she says here seems extremely genuine. That&#39;s just my take on it. It seems like everyone is just shitting on her for just doing this in music form, when in reality, it&#39;s much mote genuine than 90% of any Youtuber&#39;s apology/explanation video."
@kathryn.obvious7699,"Everyone needs to sit down and take a second. If she would have sat there and made like a 25min video apologizing, you guys would call her a liar, say you don&#39;t care and say &quot;she&#39;s only responding because she got caught&quot;. If she never responded, you guys would say she&#39;s guilty. If she completely stuck up for herself, you guys would also say she&#39;s a liar and say that you&#39;ve already seen the facts. So now she gives you a response, not meant as an apology, just kind of saying &quot;don&#39;t believe everything you see&quot; because guess what, there&#39;s two sides to everything. I have been a fan for years, and yes what I have seen is really sickening and it makes me really sad, but I&#39;m not going to bash her before I&#39;ve even heard her side. This whole cancel culture shit is really fucking annoying, I swear people aren&#39;t even fans of her and are bashing on her. Chill tf out."
@anunnakijones8965,"Even if all the gossip were true, you&#39;re still not a bad person and deserve some basic respect. I feel so bad for all of the unwarranted distain aimed your way. Hang in there, I hope you have some support around you, you will always have me as a fan at least."
@rickschricter,"Sounds like a hit to me. Can you make a radio edit?"
@adensmomtd,"I have been around since the Josh era. I have essentially grown up WITH u...im 36. I do know theres a huge difference from what we SEE on youtube vs &quot;real life&quot;. But i have watched u go thru so much. We have been pregnant together. Cried together. U have cried far more than i have lol but when Flynn was born i balled my eyes out. When u posted ur pregnancy announcements and ur old house tour after u bought ur new home i cried with u. Most recently the death of ur chickens. U cant FAKE being a good person. We all make really shitty mistakes. When i first heard about this drama i started watching one of those videos and i stopped almost immediately. I just wanted to know what was happening. I simply didnt believe and i still dont that u harmed anyone intentionally. I hope u make it thru cuz u are one of the only people i still watch faithfully and it breaks my heart. Mostly cuz i feel like i know u and i know how much this is hurting u. I can only imagine the anxiety and stress this is causing. Ur poor fingers must be worn raw. Chin up friend. ❤"
@h-e-n-r-y885,"colleen u slayed this"
@niyaliselopez1237,"HIIIII IM YOUR BIGGEST FAN IGNORE THESE AWFUL PEOPLE THAT ARE MAKING RUMORSS🫶🏼🫶🏼🫶🏼🫶🏼"
@Makeupandmassage,"So glad to see you hopefully back! I completely have your back. I’ll be sending you a letter and some gifts for you and your kids soon. Love you and I’ve been praying for you every night. 💜💕🦋"
@Makeupandmassage,"So glad to see you hopefully back! I completely have your back. I’ll be sending you a letter and some gifts for you and your kids soon. Love you and I’ve been praying for you every night. 💜💕🦋"
@misscrackwood,"I&#39;ve seen you grow and go to therapy and try to be a better person for the past few years and I wonder what people are really waiting for. Feels like they just want the end of your career and nothing else will satisfy them. I stand by you."
@kendollking9444,"This is like the weirdest thing to care about, you guys. I believe her, but still, I DON’T CARE! So over people thinking they’re social justice warriors on the phone. If she did something that warrants jail time, then that would be brought out in a trial. You think the Hollywood elites are trying to protect f**king Colleen Ballinger?! (Sorry Coll, love you)…but like for REAL?! Leave her alone. This is so inconsequential."
@lexc5289,"I actually can&#39;t believe this is real. The sad thing is that it is clear she put a bunch of effort into this song."
@maddieknower,"i love u and i will always will❤ u shouldnt have to apologize again, your amazing im sorry ur going through this again bb, u dont deserve this"
@urmomsaccount8081,"she has apologized multiple times and you guys aren’t satisfied so this is the best she can do to satisfy all parties. Love you Colleen stay strong 🫶🫶🫶"
@lucasmeredith6827,"I love you COLLEEEN💓 stay strong"
@Honoraoraora,"Most creative youtuber apology video ever"
